suburb_id,suburb,Bus stop,Coffee shop,Dentist,Hair care,Motor repair,Restaurant,Orchard,Clothing store,Train station
479,Coal Point,13,0,0,0,0,0,0,1,0
480,Coalcliff,6,0,0,0,0,0,0,0,1
481,Coasters Retreat,2,0,0,0,0,0,0,0,0
483,Cobargo,5,3,0,0,1,4,0,3,0
484,Cobbadah,1,0,0,0,0,0,0,0,0
485,Cobbitty,15,1,0,0,0,1,0,0,0
486,Coffee Camp,2,0,0,0,0,0,0,0,0
487,Coffs Harbour,57,53,47,48,47,59,0,59,1
488,Coila,2,0,0,0,0,0,0,0,0
489,Colebee,14,2,1,4,0,4,0,1,0
490,Coledale,14,2,0,1,0,3,0,0,1
491,Collaroy,10,9,1,7,1,29,0,3,0
492,Collaroy Plateau,25,2,3,4,0,10,0,1,0
493,Collector,2,2,0,0,0,4,0,0,0
494,Collombatti,5,0,0,0,0,0,0,0,1
495,Colly Blue,0,0,0,0,0,0,0,0,1
496,Colo,0,1,0,0,0,1,0,0,0
497,Colo Vale,5,1,0,0,0,0,0,0,0
498,Colyton,39,0,1,3,2,7,0,0,0
499,Comberton,0,0,0,0,1,0,0,0,0
500,Comboyne,0,1,0,0,0,1,0,0,0
501,Como,8,3,0,1,0,3,0,0,1
502,Conargo,1,0,0,0,0,0,0,0,0
503,Concord,40,15,11,14,6,32,0,7,0
504,Concord West,18,7,2,4,2,7,0,3,1
505,Condell Park,3,3,2,5,32,14,0,5,0
507,Condong,3,0,0,0,0,1,0,0,0
508,Congarinni North,1,0,0,0,0,0,0,0,0
509,Coniston,3,2,3,3,2,2,0,1,1
510,Conjola,2,0,0,0,0,0,0,0,0
511,Conjola Park,1,0,0,0,0,0,0,0,0
512,Connells Point,16,0,0,0,1,0,0,0,0
513,Constitution Hill,14,1,1,2,0,2,0,1,0
514,Coogee,36,17,5,19,3,52,0,6,0
515,Cooks Hill,16,10,1,3,2,0,0,8,0
516,Coolac,1,1,0,0,0,1,0,0,0
517,Coolagolite,7,0,0,0,1,0,0,0,0
518,Coolah,1,2,1,1,5,4,0,1,3
519,Coolamon,0,3,1,0,1,5,0,1,1
520,Coolongolook,2,3,0,0,0,3,0,0,0
521,Cooma,28,15,3,8,26,26,0,13,0
522,Coomba Bay,1,0,0,0,0,0,0,0,0
523,Coomba Park,1,0,0,0,0,0,0,0,0
524,Coonabarabran,1,5,2,1,7,9,0,4,0
