suburb_ssc,suburb,suburb_id,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Total population aged 15 years and over (no.),Median Household Weekly Income,Weekly median advertised rent,Non-School Qualifications (no.),Postgraduate Degree (no.),Graduate Diploma/Graduate Certificate (no.),Bachelor Degree (no.),Advanced Diploma/Diploma (no.),Certificate (no.),Labour Force (no.),Employed (no.),Unemployed (no.)
SSC11850,Hanwood,894,656,603,1259,1023,1461,0,143,8,11,79,53,222,687,654,33
SSC11851,Harden,895,952,1082,2034,1700,829,0,265,12,14,88,107,338,746,706,40
SSC11852,Hardys Bay,896,112,120,232,199,1271,0,25,17,4,41,25,34,100,97,3
SSC11853,Harefield,897,73,69,142,111,1812,0,12,3,0,24,14,18,86,86,0
SSC11857,Harpers Hill,898,27,24,51,48,1062,0,3,0,0,11,3,13,13,13,0
SSC11858,Harrington,899,1501,1535,3036,2738,784,0,342,19,21,157,198,717,857,759,98
SSC11859,Harrington Park,900,5224,5442,10666,7831,2416,550,531,255,135,988,918,1756,5771,5519,252
SSC11860,Harris Park,901,3110,2692,5802,4776,1509,0,672,736,80,1301,422,300,3002,2731,271
SSC11861,Hartley,902,219,195,414,349,1647,0,38,12,5,46,37,98,224,211,13
SSC11862,Hartley Vale,903,32,31,63,63,1875,0,15,0,3,8,3,17,41,38,3
SSC11865,Harwood,904,152,141,293,250,825,0,33,0,8,19,13,83,130,119,11
SSC11866,Hassall Grove,905,2207,2299,4506,3414,1718,400,304,87,25,395,292,654,2296,2139,157
SSC11868,Hastings Point,906,298,356,654,612,723,0,85,11,7,36,38,142,169,152,17
SSC11871,Havilah,907,7,13,20,22,1625,0,3,3,0,3,0,4,15,15,0
SSC11872,Hawkesbury Heights,908,220,230,450,352,2270,0,21,19,14,33,51,86,245,242,3
SSC11873,Hawks Nest,909,626,593,1219,1080,874,340,139,23,24,109,86,290,401,359,42
SSC11877,Haymarket,910,3536,3815,7351,7059,1505,0,1439,546,46,1765,786,328,4036,3663,373
SSC11880,Haywards Bay,911,493,510,1003,751,2060,0,42,22,9,82,83,227,533,515,18
SSC11881,Hazelbrook,912,2334,2645,4979,3879,1496,425,237,210,125,645,491,926,2446,2345,101
SSC11883,Heathcote,913,2896,3116,6012,4860,1864,600,382,173,94,570,516,1313,3072,2957,115
SSC11884,Heatherbrae,914,282,226,508,471,841,0,63,5,3,23,18,113,204,181,23
SSC11886,Hebersham,915,2805,2880,5685,4308,1237,340,543,71,22,295,274,774,2286,2050,236
SSC11887,Heckenberg,916,1454,1636,3090,2360,968,0,432,21,13,113,166,371,1004,873,131
SSC11888,Heddon Greta,917,1019,1034,2053,1602,1780,0,89,20,10,102,125,492,1097,1028,69
SSC11890,Helensburgh,918,3210,3173,6383,4934,2111,580,496,192,96,638,522,1319,3486,3356,130
SSC11891,Henley,919,238,228,466,400,3035,0,42,32,13,112,38,48,242,239,3
SSC11892,Henty,920,615,621,1236,964,810,0,116,8,12,54,72,213,451,426,25
SSC11894,Hermidale,921,77,60,137,110,1375,0,19,0,0,7,7,25,66,66,0
SSC11895,Hermitage Flat,922,164,176,340,297,791,0,40,6,4,17,13,83,134,115,19
SSC11897,Herons Creek,923,128,119,247,197,1187,0,21,3,0,9,24,66,120,110,10
SSC11898,Hexham,924,70,62,132,112,916,0,8,0,0,0,3,20,45,42,3
SSC11903,Hill End,925,58,46,104,91,587,0,13,0,3,7,12,25,35,35,0
SSC11905,Hill Top,926,1362,1315,2677,2028,1551,450,187,27,23,122,156,611,1353,1291,62
SSC11906,Hilldale,927,106,89,195,160,1228,0,26,0,3,13,17,44,96,89,7
SSC11909,Hillsborough,928,323,334,657,530,1542,0,27,3,8,62,54,151,326,306,20
SSC11911,Hillsdale,929,2746,2760,5506,4515,1337,0,632,302,47,708,402,673,2811,2625,186
SSC11914,Hillvue,930,3094,3296,6390,5096,1471,0,471,101,60,491,470,1315,3268,3132,136
SSC11915,Hinchinbrook,931,5554,5668,11222,8822,1790,480,895,172,55,923,855,1587,5500,5060,440
SSC11917,Hobartville,932,1333,1416,2749,2160,1411,0,184,70,21,177,202,540,1385,1311,74
SSC11919,Hogarth Range,933,31,16,47,37,1031,0,3,0,0,7,3,4,25,25,0
SSC11920,Holbrook,934,826,888,1714,1394,991,0,209,17,14,103,111,281,702,671,31
SSC11921,Holgate,935,512,454,966,763,2602,0,57,61,18,144,84,143,486,470,16
SSC11924,Holmesville,936,688,682,1370,1097,1366,0,98,14,3,49,62,335,650,605,45
SSC11925,Holroyd,937,673,608,1281,1007,1860,0,127,106,11,247,97,102,680,628,52
SSC11926,Holsworthy,938,2954,2527,5481,4245,2172,500,379,310,69,781,421,835,3147,3004,143
SSC11929,Homebush,939,3739,3270,7009,6003,1810,620,672,767,117,1559,511,516,3928,3634,294
SSC11930,Homebush West,940,4522,4088,8610,7234,1635,0,1132,964,104,1784,620,477,4582,4201,381
SSC11935,Horningsea Park,941,1805,1926,3731,2761,2084,530,200,88,23,384,265,541,1899,1807,92
SSC11936,Hornsby,942,10860,11307,22167,18054,1696,590,1537,2234,460,4702,1886,2069,11931,11198,733
SSC11937,Hornsby Heights,943,3104,3199,6303,4915,2273,0,296,419,134,1108,568,859,3435,3292,143
SSC11941,Horsfield Bay,944,273,272,545,459,1937,0,58,25,13,70,49,94,283,268,15
SSC11942,Horsley,945,4012,4215,8227,6233,1826,490,450,157,83,585,679,1780,4256,4049,207
SSC11943,Horsley Park,946,949,887,1836,1520,1720,400,212,24,4,114,102,291,857,827,30
SSC11950,Howlong,947,1385,1389,2774,2274,1024,0,325,22,33,146,134,533,1124,1069,55
SSC11951,Hoxton Park,948,2146,2211,4357,3293,1725,500,373,94,16,333,307,567,2033,1910,123
SSC11954,Hunters Hill,949,4785,4740,9525,7625,2700,1000,913,834,205,1891,679,693,4226,4083,143
SSC11955,Hunterview,950,1476,1530,3006,2196,2113,0,165,46,28,217,175,692,1613,1505,108
SSC11958,Huntley,951,85,68,153,128,1958,0,17,6,4,18,15,37,96,96,0
SSC11960,Huntleys Cove,952,355,394,749,654,2071,0,59,65,21,174,79,74,390,380,10
SSC11961,Huntleys Point,953,72,72,144,130,3250,0,14,9,3,49,14,16,81,74,7
SSC11963,Hurlstone Park,954,2250,2448,4698,3960,1780,0,430,347,123,792,364,508,2494,2372,122
SSC11964,Hurstville,955,14660,15165,29825,25635,1382,580,2507,3046,306,5715,2267,2001,14992,13522,1470
SSC11965,Hurstville Grove,956,1321,1343,2664,2228,2094,645,186,161,37,472,226,333,1386,1315,71
SSC11966,Huskisson,957,380,407,787,727,864,420,99,16,21,75,73,159,329,310,19
SSC11967,Hyams Beach,958,54,56,110,109,1156,0,3,19,5,21,8,26,36,36,0
SSC11970,Ilarwill,959,117,103,220,191,949,0,25,3,3,18,18,58,91,86,5
SSC11974,Illawong,960,3642,3629,7271,6075,2466,775,326,329,112,1173,671,1297,4154,4009,145
SSC11975,Iluka,961,870,846,1716,1533,723,400,232,12,12,77,113,363,419,381,38
SSC11978,Ingleburn,962,7483,7554,15037,11945,1401,415,1209,624,134,1600,1039,2243,7321,6699,622
SSC11979,Ingleside,963,511,462,973,816,2170,0,94,30,17,119,80,200,513,502,11
SSC11981,Inverell,964,5590,6070,11660,9290,971,310,1199,70,90,711,571,2208,4907,4536,371
SSC11990,Islington,965,940,944,1884,1605,1354,0,149,98,35,345,165,323,1107,1024,83
SSC11992,Jackadgery,966,50,45,95,71,1083,0,17,0,0,8,6,15,40,40,0
SSC11995,Jacky Bulbin Flat,967,12,16,28,21,537,0,3,0,0,0,4,9,3,3,0
SSC11998,Jamberoo,968,788,843,1631,1381,1703,0,140,75,50,256,160,321,786,758,28
SSC12000,Jamisontown,969,2645,2859,5504,4408,1385,435,456,109,55,372,366,1085,2780,2635,145
SSC12001,Jannali,970,3002,3184,6186,4865,1784,580,440,242,118,798,585,1025,3127,2985,142
SSC12004,Jeir,971,121,136,257,205,2963,0,20,12,4,50,13,28,143,143,0
SSC12005,Jellat Jellat,972,31,44,75,69,1333,0,9,0,3,10,14,11,43,40,3
SSC12009,Jenolan,973,10,13,23,13,0,0,4,0,0,0,0,3,8,8,0
SSC12014,Jerilderie,974,532,495,1027,850,1110,0,150,7,9,61,56,163,452,431,21
SSC12016,Jerrabomberra,975,4763,4745,9508,7225,2820,640,375,653,294,1203,872,1272,5655,5469,186
SSC12017,Jerrara,976,72,80,152,116,2349,0,19,6,3,28,3,22,63,60,3
SSC12018,Jerrawa,977,38,37,75,59,1312,0,8,0,0,8,10,11,37,32,5
SSC12021,Jerrys Plains,978,198,188,386,303,1525,0,45,0,0,32,23,99,201,198,3
SSC12023,Jesmond,979,1537,1511,3048,2506,850,390,264,167,30,318,161,364,1163,958,205
SSC12024,Jewells,980,1180,1228,2408,1983,1492,0,132,24,45,246,183,587,1178,1117,61
SSC12027,Jilliby,981,814,829,1643,1313,2161,600,145,37,16,167,139,331,857,836,21
SSC12030,Jindabyne,982,1418,1216,2634,2212,1450,0,298,72,35,290,209,611,1650,1619,31
SSC12032,Jindera,983,1106,1112,2218,1656,1492,0,184,29,29,157,142,495,1093,1042,51
SSC12033,Jingellic,984,31,31,62,61,900,0,9,3,0,6,4,10,32,32,0
SSC12037,Johns River,985,165,161,326,282,942,0,72,4,4,18,21,73,134,122,12
SSC12042,Jordan Springs,986,2531,2628,5159,3781,2231,0,224,252,57,618,455,794,2937,2823,114
SSC12044,Jugiong,987,115,105,220,190,1268,0,21,3,0,12,13,41,119,116,3
SSC12045,Junction Hill,988,684,686,1370,1131,1167,0,96,26,16,119,101,286,569,536,33
SSC12046,Junee,989,2881,2038,4919,4110,1078,270,1362,24,23,183,196,787,1726,1624,102
SSC12048,Kahibah,990,1184,1285,2469,1954,1435,0,133,54,47,336,185,510,1239,1170,69
SSC12051,Kalaru,991,361,347,708,537,1257,0,75,25,23,67,37,124,311,297,14
SSC12053,Kamarah,992,48,48,96,78,1218,0,12,0,0,0,3,19,42,42,0
SSC12055,Kanahooka,993,2640,2937,5577,4655,1212,0,386,79,64,371,404,1267,2354,2220,134
SSC12057,Kandos,994,671,647,1318,1123,698,0,206,7,3,37,49,245,376,315,61
SSC12058,Kangaloon,995,75,71,146,118,2150,0,17,6,0,16,10,20,66,63,3
SSC12061,Kangaroo Valley,996,439,440,879,759,1255,0,112,48,20,125,63,145,411,401,10
SSC12064,Kangy Angy,997,162,147,309,258,1093,0,29,5,0,19,21,58,147,133,14
SSC12067,Kanwal,998,1932,2167,4099,3378,1097,390,697,20,25,196,243,750,1603,1454,149
SSC12068,Kapooka,999,422,208,630,574,2173,0,106,4,8,35,30,147,441,441,0
SSC12070,Karaak Flat,1000,26,23,49,39,1062,0,3,0,0,0,0,14,17,17,0
SSC12071,Karabar,1001,4073,4172,8245,6625,1692,480,644,197,127,584,553,1478,4392,4184,208
SSC12073,Kareela,1002,1722,1729,3451,2750,2273,0,163,174,63,504,359,558,1752,1684,68
SSC12074,Kariong,1003,3239,3143,6382,4975,1813,430,516,109,60,511,545,1275,3371,3156,215
SSC12076,Karuah,1004,742,670,1412,1191,795,340,186,20,10,37,61,287,492,443,49
SSC12077,Katoomba,1005,3787,4180,7967,6727,976,415,817,429,191,1098,736,1296,3695,3433,262
SSC12079,Kearns,1006,1397,1351,2748,2194,2039,0,157,49,21,207,201,539,1625,1566,59
SSC12080,Kearsley,1007,457,401,858,650,1260,0,59,4,0,24,30,206,383,352,31
SSC12081,Keepit,1008,7,3,10,13,900,0,0,0,0,0,0,6,8,8,0
SSC12083,Keerrong,1009,78,79,157,116,1166,0,20,3,0,10,14,22,64,55,9
SSC12085,Keiraville,1010,1778,1789,3567,3079,1296,580,160,346,70,628,227,432,1665,1466,199
SSC12088,Kellyville,1011,13767,14205,27972,21162,2564,644,1346,1738,433,4698,2417,3373,15280,14600,680
SSC12089,Kellyville Ridge,1012,5155,5320,10475,7377,2559,610,470,622,152,1702,827,1229,5623,5371,252
SSC12090,Kelso,1013,4389,4583,8972,6816,1445,0,702,125,124,702,544,1728,4146,3890,256
SSC12092,Kembla Grange,1014,124,129,253,200,1895,470,24,8,3,23,17,62,110,110,0
SSC12093,Kembla Heights,1015,61,62,123,84,1208,0,17,0,0,9,9,13,56,49,7
SSC12094,Kemps Creek,1016,1142,1127,2269,1866,1613,480,340,22,8,120,113,424,1048,976,72
SSC12095,Kempsey,1017,259,217,476,398,712,265,63,5,0,13,24,91,168,140,28
SSC12096,Kendall,1018,555,591,1146,900,1061,0,113,7,12,65,77,252,446,410,36
SSC12099,Kensington,1019,7537,7466,15003,13525,1646,950,1413,1555,203,3263,896,945,7366,6584,782
SSC12100,Kenthurst,1020,2540,2500,5040,4061,2604,460,281,211,85,751,448,848,2699,2606,93
SSC12101,Kentlyn,1021,375,368,743,594,2050,0,59,16,13,96,45,132,360,338,22
SSC12102,Kentucky,1022,76,83,159,142,1187,0,19,8,3,19,11,24,84,84,0
SSC12103,Kentucky South,1023,65,61,126,98,788,0,11,0,3,11,17,30,64,61,3
SSC12106,Kerrabee,1024,9,3,12,15,1649,0,6,0,0,3,0,0,5,5,0
SSC12108,Kerrs Creek,1025,26,20,46,37,1031,0,6,0,0,3,12,8,21,21,0
SSC12111,Khancoban,1026,152,151,303,258,914,0,34,6,5,17,22,57,108,97,11
SSC12116,Kiama,1027,3350,3531,6881,5874,1306,550,595,278,154,912,682,1258,3016,2865,151
SSC12117,Kiama Downs,1028,2486,2517,5003,4037,1836,540,271,172,127,669,487,1031,2496,2372,124
SSC12118,Kiama Heights,1029,413,399,812,696,1581,0,62,43,22,111,85,157,383,361,22
SSC12119,Kianga,1030,375,403,778,692,873,0,113,7,11,63,59,168,244,229,15
SSC12120,Kiar,1031,14,17,31,30,1624,0,4,0,0,0,3,3,15,15,0
SSC12125,Kilaben Bay,1032,691,740,1431,1157,1798,0,85,62,26,162,138,297,698,652,46
SSC12127,Kilgra,1033,41,38,79,66,739,0,9,0,0,0,6,13,28,28,0
SSC12129,Killara,1034,5025,5550,10575,8553,2534,1100,627,1381,243,2700,738,488,5126,4831,295
SSC12130,Killarney Heights,1035,2157,2310,4467,3421,2590,975,200,361,100,866,386,378,2171,2080,91
SSC12131,Killarney Vale,1036,3424,3791,7215,5773,1222,420,701,61,47,388,483,1587,3246,3021,225
SSC12132,Killawarra,1037,92,85,177,139,1062,0,24,0,0,14,13,32,72,72,0
SSC12133,Killcare,1038,228,249,477,385,1316,0,41,14,11,79,46,76,219,207,12
SSC12134,Killcare Heights,1039,368,375,743,611,1592,0,36,36,33,122,87,120,350,333,17
SSC12136,Killimicat,1040,12,15,27,26,1875,0,0,0,0,5,7,3,22,22,0
SSC12137,Killingworth,1041,357,326,683,544,1757,0,26,9,0,37,44,183,386,361,25
SSC12140,Kinchela,1042,136,133,269,234,1055,0,27,0,0,19,21,66,120,110,10
SSC12141,Kincumber,1043,3239,3855,7094,5904,1082,490,558,144,93,624,547,1470,3023,2839,184
SSC12142,Kincumber South,1044,310,379,689,641,645,0,75,8,6,54,59,128,178,167,11
SSC12145,King Creek,1045,780,790,1570,1254,1582,0,136,27,30,160,145,340,754,715,39
SSC12146,Kingfisher Shores,1046,84,84,168,134,1275,0,7,8,0,17,11,48,81,76,5
SSC12149,Kings Langley,1047,4660,4690,9350,7432,2114,520,570,382,174,1213,816,1549,5040,4830,210
SSC12150,Kings Park,1048,1731,1721,3452,2643,1904,440,184,107,41,406,294,644,1880,1796,84
SSC12153,Kings Point,1049,256,294,550,455,1076,0,32,12,5,38,35,140,255,244,11
SSC12154,Kingscliff,1050,3567,3890,7457,6194,1230,640,839,212,134,849,634,1281,3308,3108,200
SSC12156,Kingsford,1051,7907,7574,15481,13731,1374,800,1203,1637,214,3704,890,1085,7062,6316,746
SSC12158,Kingsgrove,1052,6071,6378,12449,10203,1564,600,984,455,121,1606,994,1544,5875,5521,354
SSC12161,Kingsvale,1053,87,92,179,138,1136,0,13,3,0,21,11,26,75,68,7
SSC12163,Kingswood,1054,4573,4727,9300,7369,1229,370,909,310,91,779,567,1523,4329,3960,369
SSC12165,Kioloa,1055,147,118,265,235,767,0,22,3,0,14,28,66,93,87,6
SSC12171,Kirkham,1056,349,345,694,552,2942,0,43,18,7,98,52,105,396,389,7
SSC12172,Kirrawee,1057,4420,4862,9282,7471,1709,590,688,340,143,1163,872,1692,4691,4521,170
SSC12173,Kirribilli,1058,1814,2008,3822,3544,2233,980,462,547,113,1226,298,227,2325,2226,99
SSC12176,Klori,1059,26,26,52,44,1749,0,3,0,0,3,4,6,25,25,0
SSC12178,Knockrow,1060,107,92,199,166,1218,0,31,6,4,27,17,30,88,79,9
SSC12181,Kogarah,1061,7588,7534,15122,12699,1626,583,1259,1401,191,3127,1205,1349,8414,7794,620
SSC12182,Kogarah Bay,1062,998,1020,2018,1643,2051,550,149,97,17,306,166,274,991,950,41
SSC12185,Koolewong,1063,436,429,865,736,1504,420,57,40,21,112,91,179,445,416,29
SSC12186,Koolkhan,1064,24,15,39,31,1024,0,6,0,0,0,0,6,14,14,0
SSC12187,Koonawarra,1065,1779,1885,3664,2885,1038,0,267,21,19,119,187,723,1518,1328,190
SSC12188,Koonorigan,1066,156,149,305,251,1069,0,22,6,5,41,31,56,157,147,10
SSC12192,Koorawatha,1067,225,200,425,360,781,0,65,6,4,20,23,61,145,135,10
SSC12193,Kooringal,1068,3564,3662,7226,5745,1196,0,558,186,101,687,484,1417,3519,3303,216
SSC12194,Kootingal,1069,1021,1108,2129,1652,1237,0,155,25,21,131,120,484,1020,972,48
SSC12195,Koraleigh,1070,185,169,354,291,857,0,38,0,0,6,10,60,163,149,14
SSC12197,Korora,1071,1218,1272,2490,2012,1436,503,207,82,60,322,238,471,1196,1140,56
SSC12200,Kotara,1072,1929,1999,3928,3127,1638,480,203,146,65,554,371,730,1995,1892,103
SSC12201,Kotara South,1073,532,570,1102,854,1421,0,71,37,25,137,92,193,530,499,31
SSC12202,Krambach,1074,200,184,384,321,821,0,54,4,3,22,22,85,156,142,14
SSC12206,Kulnura,1075,313,294,607,510,1544,0,65,14,5,44,48,116,313,303,10
SSC12209,Kundabung,1076,312,316,628,505,1366,0,87,5,3,47,43,147,254,240,14
SSC12212,Kungala,1077,77,68,145,130,1145,0,18,4,0,4,19,37,59,52,7
SSC12213,Kunghur,1078,62,46,108,88,924,0,7,0,0,5,13,22,45,45,0
SSC12215,Kurmond,1079,430,420,850,693,1723,0,69,11,10,88,72,173,432,418,14
SSC12216,Kurnell,1080,1148,1121,2269,1694,1898,588,156,26,14,138,158,518,1147,1101,46
SSC12217,Kurraba Point,1081,719,803,1522,1326,2856,0,130,212,42,483,125,83,921,889,32
SSC12218,Kurrajong,1082,1519,1540,3059,2522,2005,0,227,101,53,341,272,667,1661,1600,61
SSC12219,Kurrajong Heights,1083,656,681,1337,1093,2042,450,118,44,31,153,149,257,714,694,20
SSC12220,Kurrajong Hills,1084,316,352,668,541,2277,0,52,27,18,82,69,120,358,343,15
SSC12221,Kurri Kurri,1085,2963,3076,6039,4962,991,330,626,34,25,198,251,1357,2512,2263,249
SSC12222,Kyalite,1086,47,33,80,68,1025,0,5,0,0,3,5,18,47,47,0
SSC12226,Kyeemagh,1087,446,470,916,761,1395,670,113,17,3,95,79,131,408,392,16
SSC12227,Kyle Bay,1088,512,524,1036,836,2511,0,78,36,10,223,86,110,532,503,29
SSC12229,Kyogle,1089,1049,1151,2200,1815,814,315,307,9,16,110,120,377,734,662,72
SSC12230,La Perouse,1090,198,203,401,337,1531,0,39,14,3,39,20,58,167,159,8
SSC12234,Laffing Waters,1091,46,62,108,97,1958,0,5,3,0,17,18,23,51,51,0
SSC12235,Laggan,1092,190,170,360,288,1509,0,29,4,3,32,25,66,189,185,4
SSC12237,Laguna,1093,114,103,217,178,1156,0,37,4,0,34,23,28,79,67,12
SSC12238,Lake Albert,1094,3005,3187,6192,4929,1553,0,363,163,102,630,444,1319,3141,3038,103
SSC12239,Lake Bathurst,1095,130,100,230,204,1649,0,36,12,4,28,13,41,93,87,6
SSC12242,Lake Cargelligo,1096,728,748,1476,1145,1048,0,195,8,13,54,62,194,583,541,42
SSC12243,Lake Cathie,1097,1701,1793,3494,2906,1034,0,268,43,40,285,296,789,1395,1300,95
SSC12244,Lake Conjola,1098,235,205,440,399,789,0,58,6,10,13,22,133,130,125,5
SSC12245,Lake Cowal,1099,23,19,42,29,1624,0,0,0,0,4,0,14,29,29,0
SSC12246,Lake George,1100,50,49,99,82,2625,0,7,11,0,14,12,20,56,56,0
SSC12247,Lake Haven,1101,1633,1945,3578,3077,866,0,514,32,10,137,171,650,1301,1164,137
SSC12248,Lake Heights,1102,1915,1930,3845,3094,1092,433,364,42,19,233,244,724,1605,1464,141
SSC12250,Lake Illawarra,1103,1528,1638,3166,2671,898,0,299,44,33,150,169,677,1320,1191,129
SSC12253,Lake Munmorah,1104,2543,2699,5242,4401,1004,380,493,41,35,264,344,1222,2160,1998,162
SSC12254,Lake Tabourie,1105,330,322,652,537,852,0,65,8,6,33,48,165,258,232,26
SSC12257,Lakemba,1106,9196,7827,17023,12734,1012,500,1886,1119,139,2109,890,1157,6553,5669,884
SSC12258,Lakesland,1107,214,217,431,352,2125,0,41,12,6,32,23,83,225,211,14
SSC12259,Lakewood,1108,584,606,1190,1008,824,0,116,23,13,60,71,275,344,313,31
SSC12261,Lalor Park,1109,3808,3857,7665,6189,1251,380,769,173,46,630,514,1267,3573,3314,259
SSC12264,Lambton,1110,2340,2567,4907,3974,1341,450,302,212,88,682,343,843,2516,2373,143
SSC12266,Lane Cove,1111,5142,5675,10817,8783,2192,925,639,1266,306,2656,889,836,6008,5741,267
SSC12267,Lane Cove North,1112,5525,5916,11441,9468,2161,820,823,1367,294,2974,999,914,6850,6553,297
SSC12268,Lane Cove West,1113,1301,1329,2630,2020,2567,0,126,279,62,627,186,200,1405,1334,71
SSC12269,Langley Vale,1114,23,22,45,40,675,0,6,0,0,0,0,13,7,7,0
SSC12270,Lanitza,1115,159,137,296,243,1021,0,34,0,3,15,14,56,119,103,16
SSC12272,Lansdowne,1116,10,7,17,17,1874,0,3,0,0,0,0,3,12,12,0
SSC12275,Lansvale,1117,1352,1221,2573,2106,1330,500,287,28,11,192,163,330,1091,992,99
SSC12276,Lapstone,1118,487,472,959,785,2115,0,70,68,33,149,98,130,474,465,9
SSC12278,Largs,1119,946,989,1935,1466,1727,0,145,29,18,170,126,422,971,931,40
SSC12281,Laughtondale,1120,49,37,86,74,1406,0,10,0,0,7,3,27,42,42,0
SSC12282,Laurel Hill,1121,7,12,19,20,1087,0,3,0,0,0,0,5,6,6,0
SSC12283,Laurieton,1122,921,1063,1984,1811,716,360,284,20,21,106,116,380,474,413,61
SSC12285,Lavender Bay,1123,454,487,941,867,2277,0,102,161,14,304,70,68,570,550,20
SSC12287,Lavington,1124,6007,6461,12468,10295,933,305,1398,142,101,660,707,2613,5591,5079,512
SSC12289,Lawson,1125,1237,1380,2617,2134,1314,440,199,138,68,335,220,477,1306,1235,71
SSC12291,Leconfield,1126,75,66,141,117,1775,0,8,3,0,12,10,40,76,72,4
SSC12293,Leeton,1127,4234,4385,8619,6910,1207,310,1034,76,66,565,394,1529,3958,3751,207
SSC12297,Leichhardt,1128,7017,7611,14628,11780,2256,750,1237,1371,408,3304,1173,1263,8285,7952,333
SSC12299,Lemon Tree,1129,29,26,55,50,2083,0,11,3,0,4,6,11,33,33,0
SSC12300,Lemon Tree Passage,1130,1327,1274,2601,2191,983,385,273,17,19,137,188,641,975,888,87
SSC12303,Lennox Head,1131,3065,3338,6403,5152,1577,600,466,283,162,1059,546,1054,3354,3179,175
SSC12304,Leonay,1132,1235,1280,2515,1986,2153,498,166,94,45,266,245,469,1325,1278,47
SSC12305,Leppington,1133,1782,1710,3492,2758,1634,540,360,114,27,276,225,535,1639,1559,80
SSC12307,Lethbridge Park,1134,2311,2441,4752,3604,959,300,636,21,11,109,166,593,1606,1377,229
SSC12308,Leumeah,1135,4849,4985,9834,7864,1298,380,780,277,72,748,644,1797,4696,4331,365
SSC12309,Leura,1136,2225,2428,4653,4074,1164,450,632,333,126,724,490,618,1935,1818,117
SSC12313,Lewisham,1137,1529,1639,3168,2754,1974,700,319,313,120,720,251,292,1867,1753,114
SSC12316,Lidcombe,1138,10127,9498,19625,16752,1571,510,2102,1041,197,3349,1528,1497,9963,9121,842
SSC12318,Lidsdale,1139,231,197,428,354,1487,0,72,0,0,9,14,90,189,180,9
SSC12322,Lilli Pilli,1140,690,704,1394,1107,3297,870,54,97,24,232,145,203,771,750,21
SSC12323,Lillian Rock,1141,103,120,223,183,706,0,29,7,5,27,27,33,79,71,8
SSC12325,Lilyfield,1142,3618,3996,7614,5994,2310,793,594,718,214,1533,498,638,4009,3836,173
SSC12327,Limbri,1143,53,51,104,99,966,0,16,0,0,7,4,29,46,46,0
SSC12329,Limeburners Creek,1144,8,3,11,13,1375,0,0,0,0,0,3,8,6,6,0
SSC12330,Limekilns,1145,55,56,111,93,1531,0,4,3,6,12,8,23,60,60,0
SSC12335,Linden,1146,256,241,497,423,2045,0,26,25,12,95,58,86,280,254,26
SSC12336,Lindendale,1147,121,124,245,202,1786,0,15,8,8,35,24,59,133,133,0
SSC12339,Lindfield,1148,4742,5046,9788,7796,2513,935,551,1174,262,2516,681,498,4838,4629,209
SSC12341,Linley Point,1149,177,170,347,284,3692,0,18,37,4,78,26,16,197,186,11
SSC12343,Lisarow,1150,2519,2618,5137,4070,1742,520,290,131,72,536,437,1014,2656,2517,139
SSC12344,Lismore,1151,1744,1833,3577,3039,838,380,419,74,56,357,204,681,1512,1322,190
SSC12345,Lismore Heights,1152,1041,1152,2193,1766,1134,0,182,67,56,260,166,389,1063,986,77
SSC12346,Liston,1153,72,65,137,115,787,0,18,3,0,6,9,27,60,57,3
SSC12347,Lithgow,1154,2490,2711,5201,4417,834,300,569,58,47,309,277,1058,2079,1903,176
SSC12349,Little Bay,1155,2170,2306,4476,3684,2041,0,642,345,84,700,346,496,2132,2044,88
SSC12352,Little Hartley,1156,252,256,508,424,1388,0,48,18,5,52,51,123,275,264,11
SSC12355,Little Pelican,1157,3,0,3,4,0,0,0,0,0,0,0,0,4,4,0
SSC12356,Little Plain,1158,72,70,142,107,1156,0,7,0,0,11,11,34,76,76,0
SSC12361,Liverpool,1159,13455,13631,27086,21389,1089,430,4318,773,141,2346,1867,2902,9598,8499,1099
SSC12362,Llanarth,1160,1061,1138,2199,1702,2151,0,97,88,43,287,207,381,1161,1124,37
SSC12363,Llandilo,1161,830,806,1636,1280,1888,0,180,16,8,64,59,313,810,771,39
SSC12364,Llangothlin,1162,68,58,126,99,1166,0,12,0,0,9,12,23,61,61,0
SSC12365,Lloyd,1163,404,434,838,620,2005,0,50,12,16,88,59,184,470,459,11
SSC12368,Lochinvar,1164,390,393,783,660,1797,0,60,10,8,48,50,192,412,388,24
SSC12369,Lockhart,1165,528,540,1068,864,960,0,102,5,12,57,46,222,448,432,16
SSC12371,Loftus,1166,2011,2124,4135,3208,2083,630,173,155,73,522,375,768,2094,2030,64
SSC12372,Loftville,1167,146,83,229,205,486,0,45,0,3,4,8,47,69,52,17
SSC12375,Londonderry,1168,2016,1892,3908,3140,1862,550,378,42,18,148,192,872,2037,1965,72
SSC12377,Long Flat,1169,68,56,124,96,849,0,18,0,0,3,0,24,46,43,3
SSC12378,Long Jetty,1170,3057,3330,6387,5277,972,0,683,77,59,410,401,1267,2779,2561,218
SSC12381,Long Point,1171,112,92,204,175,1671,0,21,0,0,26,14,46,109,105,4
SSC12385,Longueville,1172,1031,1028,2059,1651,4050,0,96,260,49,588,130,113,1042,1009,33
SSC12387,Lord Howe Island,1173,192,191,383,327,1397,0,41,7,0,41,29,101,228,225,3
