Label,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Median Household Weekly Income,Non-School Qualifications (%),Postgraduate Degree (%),Graduate Diploma/Graduate Certificate (%),Bachelor Degree (%),Advanced Diploma/Diploma (%),Certificate (%),Non-School Qualifications - Inadequately described (%),Employed (no.),Unemployed (no.),Labour Force (no.),Unemployment rate (%),Participation rate (%),Not in the Labour Force (%),Labour Force Status not stated (%),Total population aged 15 years and over (no.),Weekly median advertised rent
Ocean Shores,4143,4621,8764,685,67.4,3.6,2.5,14.9,11.3,21.8,13.4,3454,294,3748,7.8,54.8,35.9,9.2,6835,590
Old Bar,5336,5787,11123,668,62.4,2.4,1.9,10.3,9.8,27.1,11.0,3874,329,4203,7.8,48.0,46.3,5.8,8765,400
Orange,9804,10442,20246,829,59.4,3.0,1.8,12.4,8.4,22.8,10.9,8473,585,9058,6.6,59.6,33.8,6.6,15251,370
Orchard Hills,5557,5474,11031,1131,59.0,3.3,1.1,12.0,9.3,23.7,9.5,4974,196,5170,3.8,69.3,24.5,6.2,7460,0
Ourimbah,2541,2482,5023,947,62.0,3.4,1.6,14.2,11.1,24.2,7.5,2467,133,2600,5.1,66.8,29.7,3.7,3891,420
Oxley Park,6150,6138,12288,788,47.1,1.8,0.8,6.4,6.6,21.4,10.2,4972,431,5403,8.0,58.9,34.5,6.6,9168,360
Oyster Bay,10895,11218,22113,1215,67.2,6.3,2.6,19.4,12.4,19.8,6.6,10709,392,11101,3.5,67.0,29.7,3.3,16559,690
Paddington,7993,8731,16724,1769,80.5,15.2,3.3,34.8,7.9,7.0,12.3,9000,312,9312,3.4,70.6,19.4,10.0,13199,1100
Padstow,8674,8830,17504,860,56.2,4.5,1.4,14.8,9.2,17.9,8.4,7556,497,8053,6.2,58.9,36.4,4.7,13677,560
Pagewood,6023,6179,12202,817,59.1,6.4,1.2,15.5,8.6,15.1,12.2,5061,325,5386,6.0,57.4,34.5,8.1,9379,910
Palm Beach,6410,6631,13041,1237,69.1,6.6,2.7,22.0,13.1,16.6,8.1,6116,242,6358,3.8,62.9,32.6,4.4,10101,1100
Panania,13505,14014,27519,956,57.9,4.0,1.4,13.9,9.9,21.1,7.7,12211,658,12869,5.1,62.6,33.2,4.2,20559,600
Parkes,5453,5771,11224,721,54.5,1.2,1.0,7.4,6.1,24.3,14.6,4376,342,4718,7.2,54.3,36.0,9.6,8692,320
Parklea,18215,17254,35469,1260,69.4,9.4,1.9,23.2,10.7,14.1,10.0,16081,809,16890,4.8,70.9,25.7,3.4,23822,495
Parramatta,17886,15877,33763,974,73.3,16.5,1.8,28.4,8.1,6.5,12.0,14399,1474,15873,9.3,65.6,25.2,9.2,24205,490
Patonga,11918,12754,24672,705,57.0,2.5,1.2,8.7,8.8,23.9,11.9,9178,775,9953,7.8,50.4,42.6,6.9,19735,0
Peakhurst,9521,9884,19405,951,59.2,4.6,1.7,16.0,10.4,18.6,7.9,8228,397,8625,4.6,58.8,37.2,4.1,14674,600
Pemulwuy,13876,14251,28127,945,56.3,4.2,1.2,14.8,9.3,18.6,8.1,11972,693,12665,5.5,61.5,33.7,4.8,20597,640
Pendle Hill,7134,6759,13893,875,60.8,11.5,1.5,18.9,8.4,10.9,9.5,5367,453,5820,7.8,58.4,35.4,6.3,9974,470
Pennant Hills,10559,11243,21802,1336,71.8,13.8,3.3,28.0,9.9,9.9,6.8,10064,501,10565,4.7,63.8,32.2,4.0,16561,650
Penrith,7187,7436,14623,761,56.3,3.6,1.2,10.0,8.0,20.8,12.7,5758,537,6295,8.5,56.7,35.6,7.7,11110,395
Penshurst,12484,12937,25421,1002,63.3,8.3,1.8,20.9,9.7,14.7,7.8,12081,715,12796,5.6,64.7,30.5,4.7,19780,620
Petersham,11087,11006,22093,1382,74.3,12.0,3.4,28.6,9.0,10.2,11.1,11836,532,12368,4.3,70.6,20.1,9.3,17522,720
Picketts Valley,3536,3995,7531,715,58.1,2.5,1.6,10.8,9.2,24.8,9.2,2944,187,3131,6.0,51.7,44.0,4.4,6056,0
Picnic Point,13505,14014,27519,956,57.9,4.0,1.4,13.9,9.9,21.1,7.7,12211,658,12869,5.1,62.6,33.2,4.2,20559,635
Picton,8857,8977,17834,909,59.2,2.4,1.3,8.2,8.7,27.3,11.3,7892,412,8304,5.0,62.8,30.1,7.1,13216,430
Pitt Town,5701,5595,11296,1054,58.7,2.1,1.2,9.1,9.5,28.8,8.1,5504,158,5662,2.8,68.6,26.4,5.0,8256,650
Plumpton,10839,11093,21932,903,53.2,3.2,0.8,14.8,8.9,18.1,7.5,9784,750,10534,7.1,66.3,29.2,4.5,15899,420
Point Clare,3069,3239,6308,848,63.6,4.3,2.0,14.7,11.6,22.7,8.3,2814,187,3001,6.2,59.0,37.1,3.8,5084,425
Pokolbin,5526,5491,11017,966,59.7,1.6,1.2,8.8,8.3,29.4,10.4,4775,293,5068,5.8,64.8,28.7,6.6,7824,0
Port Hacking,1627,1653,3280,1555,68.2,6.6,2.1,21.2,12.9,20.0,5.1,1683,38,1721,2.2,68.4,28.9,2.9,2516,0
Port Kembla,5084,5089,10173,551,48.0,1.7,0.7,6.0,6.5,21.1,12.1,3066,420,3486,12.0,43.6,49.4,7.0,7989,425
Port Macquarie,11446,12540,23986,694,59.2,2.4,1.5,10.4,9.6,23.5,12.0,8812,612,9424,6.5,48.9,44.6,6.4,18900,450
Potts Point,13693,10542,24235,1560,82.0,12.0,2.6,27.0,8.0,8.2,24.3,12236,542,12778,4.2,62.6,15.2,22.2,20413,0
Pottsville,6886,7128,14014,726,61.4,2.4,1.9,11.8,9.2,25.0,11.2,5483,387,5870,6.6,56.3,36.0,7.6,10433,583
Prairiewood,4433,4376,8809,695,42.0,1.6,0.6,10.4,8.4,14.5,6.5,3133,293,3426,8.6,50.7,45.8,3.5,6758,445
Prestons,10158,10393,20551,958,55.6,4.3,1.0,14.8,10.6,16.9,8.1,7990,533,8523,6.3,65.3,30.4,4.3,13051,525
Primbee,2209,2172,4381,640,52.7,2.0,1.0,6.0,7.3,24.1,12.3,1587,132,1719,7.7,46.3,47.2,6.8,3711,415
Punchbowl,11532,10733,22265,592,46.3,3.7,0.6,11.2,7.9,12.7,10.1,7284,825,8109,10.2,50.4,43.3,6.3,16083,520
Putney,2048,2207,4255,1300,67.3,8.0,1.9,24.2,10.9,15.7,6.6,2076,84,2160,3.9,64.8,31.9,3.4,3335,1095
Pymble,8279,9044,17323,1605,72.4,15.4,3.6,31.7,9.2,6.8,5.7,7892,406,8298,4.9,65.2,31.6,3.1,12718,1000
Pyrmont,12204,12441,24645,1244,73.0,12.4,1.9,30.8,8.6,6.3,13.0,11495,947,12442,7.6,61.9,27.7,10.4,20090,770
Quakers Hill,12091,12189,24280,1077,62.4,7.2,1.8,19.1,10.4,18.1,5.8,11896,759,12655,6.0,72.4,24.5,3.1,17490,450
Queanbeyan,4199,4072,8271,1032,61.7,6.1,2.2,15.1,9.2,19.2,9.8,4129,223,4352,5.1,67.2,25.9,6.9,6575,470
Queanbeyan West,6510,6640,13150,1428,62.7,7.6,3.4,15.2,11.2,19.0,6.3,7125,254,7379,3.4,75.9,19.9,4.2,9725,480
Quirindi,3954,3933,7887,666,50.5,0.8,0.8,6.2,6.4,21.3,15.0,3015,241,3256,7.4,52.2,38.7,9.3,6243,270
Raby,10394,10623,21017,876,51.4,1.9,0.8,8.0,8.6,23.0,9.0,9479,690,10169,6.8,64.1,30.4,5.5,15863,420
Ramsgate,8182,9009,17191,961,60.4,4.5,1.4,15.3,10.7,18.2,10.3,7468,368,7836,4.7,58.8,35.0,6.1,13319,600
Randwick,7820,8429,16250,1452,75.9,12.5,2.8,29.4,8.8,10.5,12.0,8282,333,8616,3.9,67.4,23.5,9.0,12712,950
Rathmines,4593,4544,9137,807,62.3,2.7,1.8,10.7,11.0,28.8,7.2,3763,287,4050,7.1,54.3,42.0,3.7,7456,425
Raymond Terrace,6929,7096,14025,684,50.9,1.0,0.6,5.3,6.4,26.1,11.5,5264,583,5847,10.0,53.3,38.7,8.0,10968,360
Red Head,5336,5787,11123,668,62.4,2.4,1.9,10.3,9.8,27.1,11.0,3874,329,4203,7.8,48.0,46.3,5.8,8765,390
Redfern,13396,12810,26206,1097,72.4,11.6,2.2,29.6,7.6,7.1,14.3,11695,957,12652,7.6,59.6,28.6,11.8,21229,800
Redhead,1793,1824,3617,810,62.4,3.8,2.2,15.0,9.3,22.5,9.9,1510,87,1597,5.4,55.8,38.3,6.1,2864,490
Regents Park,2761,2597,5358,675,47.8,4.3,0.8,13.4,8.8,12.8,7.9,2002,207,2209,9.4,54.3,40.7,5.0,4069,478
Regentville,10717,11098,21815,1136,56.6,3.5,1.4,12.2,10.8,22.7,6.1,11618,476,12094,3.9,74.9,21.6,3.5,16143,408
Revesby,8539,8834,17373,849,55.0,4.2,1.1,14.7,9.1,17.3,8.6,7313,491,7804,6.3,59.4,35.6,5.1,13144,550
Richmond,6975,7456,14431,825,56.3,2.7,1.3,9.1,9.1,23.6,10.5,6334,390,6724,5.8,58.9,34.3,6.8,11425,420
Riverstone,13272,13358,26630,1028,59.7,5.3,1.2,15.1,8.3,19.8,9.9,8411,473,8884,5.3,66.2,26.7,7.0,13410,500
Riverwood,6129,6271,12400,602,52.2,5.6,1.0,15.0,8.2,11.9,10.5,4368,470,4838,9.7,50.9,42.4,6.7,9507,520
Robertson,1847,1839,3686,918,69.4,5.5,2.0,15.5,10.7,24.2,11.6,1617,52,1669,3.1,58.6,32.9,8.5,2850,460
Rockdale,11421,10716,22137,903,62.6,8.6,1.2,21.2,9.1,10.7,11.7,10103,791,10894,7.3,63.4,29.2,7.5,17182,610
Rodd Point,9294,10215,19509,1474,70.8,9.6,3.0,25.2,10.0,12.6,10.3,9554,344,9898,3.5,65.4,27.7,6.9,15145,850
Rooty Hill,11129,11295,22424,902,53.8,3.4,0.9,15.7,8.3,17.9,7.5,9851,727,10578,6.9,63.0,32.8,4.2,16786,420
Rose Bay,5880,6785,12665,1735,70.6,10.8,2.2,30.7,8.9,7.2,10.7,5388,214,5602,3.8,59.3,33.6,7.1,9439,1400
Rosehill,17886,15877,33763,974,73.3,16.5,1.8,28.4,8.1,6.5,12.0,14399,1474,15873,9.3,65.6,25.2,9.2,24205,0
Roselands,7291,7396,14687,759,52.9,4.1,0.9,14.1,8.9,15.9,9.1,5642,441,6083,7.2,56.3,37.9,5.9,10812,585
Rosemeadow,10543,10909,21452,839,52.7,2.2,1.1,8.8,8.5,22.0,10.2,9202,762,9964,7.6,60.9,32.9,6.3,16373,390
Roseville,12228,12998,25226,1577,73.3,15.3,3.3,32.6,9.0,6.6,6.5,10934,517,11451,4.5,62.8,33.3,3.9,18234,1130
Rouse Hill,13878,13950,27828,1290,64.5,6.9,1.9,21.0,11.4,17.4,5.9,11849,519,12368,4.2,73.6,23.2,3.2,16803,600
Rozelle,7292,7887,15179,1742,74.8,12.9,3.4,28.7,9.4,10.1,10.2,7714,288,8002,3.6,70.1,21.9,7.9,11409,775
Russell Vale,10144,10792,20936,948,64.0,5.3,2.5,14.4,10.4,23.1,8.2,9070,443,9513,4.7,60.6,34.8,4.6,15693,550
Rydalmere,11815,11676,23491,902,59.1,6.5,1.4,17.6,9.8,15.8,8.0,9743,642,10385,6.2,60.4,34.8,4.9,17191,495
Ryde,15303,15726,31029,1033,66.6,10.3,1.8,22.8,9.8,13.0,8.9,13502,835,14337,5.8,63.5,31.3,5.3,22595,660
San Remo,5525,5890,11415,697,48.7,0.5,0.5,4.3,6.7,27.6,9.1,4551,468,5019,9.3,59.3,36.0,4.7,8461,360
Sans Souci,8182,9009,17191,961,60.4,4.5,1.4,15.3,10.7,18.2,10.3,7468,368,7836,4.7,58.8,35.0,6.1,13319,650
Saratoga,3546,3761,7307,868,63.1,2.5,1.7,12.2,11.1,27.4,8.4,3185,158,3343,4.7,59.4,35.8,4.7,5626,520
Sawtell,9644,10338,19982,695,58.5,2.1,1.7,11.0,8.9,25.3,9.6,8004,689,8693,7.9,54.9,39.7,5.5,15841,448
Scone,2924,2903,5827,852,57.5,1.6,1.2,9.6,7.4,24.3,13.4,2641,122,2763,4.4,60.0,32.4,7.7,4605,340
Scotts Head,2452,2568,5020,603,56.1,1.4,1.2,7.5,7.1,25.2,13.7,1603,151,1754,8.6,44.4,47.4,8.1,3951,0
Seaforth,10451,11069,21520,1612,73.3,10.3,3.2,30.2,11.0,10.9,7.9,9916,369,10285,3.6,66.8,28.6,4.6,15391,1200
Seaham,2795,2737,5532,986,62.7,2.6,1.4,11.6,9.7,29.2,8.3,2769,127,2896,4.4,67.0,28.1,4.8,4325,0
Sefton,10265,9927,20192,638,47.6,2.3,0.8,10.0,7.6,14.5,12.4,6395,708,7103,10.0,49.0,45.4,5.7,14505,470
Seven Hills,13105,12637,25742,875,57.6,6.5,1.3,15.6,9.1,16.3,8.8,11013,790,11803,6.7,61.6,33.0,5.4,19168,410
Shellharbour,7151,7335,14486,864,58.0,2.3,1.3,9.5,9.8,26.6,8.3,6238,397,6635,6.1,61.5,34.0,4.4,10637,505
Shortland,6522,6244,12766,614,47.7,4.5,0.8,10.6,6.0,17.0,8.8,4213,796,5009,15.9,50.3,43.8,5.9,9956,380
Silverdale,2831,2668,5499,1030,55.4,1.7,0.6,7.4,7.8,29.4,8.6,2710,112,2822,4.0,69.6,25.3,5.0,4052,515
Silverwater,8322,7812,16134,1000,68.7,7.1,1.8,17.2,9.5,17.9,15.2,6337,413,6750,6.6,57.9,35.7,6.4,11435,0
Singleton,8282,8064,16346,975,55.4,1.6,1.0,7.9,6.8,29.1,9.1,7570,560,8130,6.9,64.3,29.9,5.9,12640,400
Skennars Head,4061,4277,8338,908,68.0,5.3,3.0,19.8,10.7,20.6,8.7,3793,208,4001,5.2,64.1,30.6,5.5,6242,590
Smithfield,9498,9608,19106,680,45.0,1.7,0.6,8.7,7.8,17.0,9.3,6638,612,7250,8.4,49.7,45.2,5.1,14573,450
South Granville,11771,11432,23203,564,46.4,3.0,0.6,9.8,7.8,13.1,12.0,6389,809,7198,11.2,45.5,46.1,8.4,15823,433
South Hurstville,12664,13038,25702,930,60.9,8.9,1.4,22.1,10.1,11.4,7.0,11248,850,12098,7.0,60.2,36.0,3.8,20107,600
South Penrith,8738,8986,17724,911,54.4,2.5,1.1,8.9,8.4,24.7,8.8,8154,473,8627,5.5,62.9,31.6,5.5,13711,420
South West Rocks,2609,2676,5285,603,54.9,1.1,0.9,7.2,7.3,26.3,12.3,1588,136,1724,7.9,38.7,55.2,6.2,4451,400
Springfield,9667,9986,19653,794,62.6,3.7,1.5,14.7,10.0,21.2,11.5,8506,686,9192,7.5,58.6,34.1,7.3,15692,450
Springwood,10685,11405,22090,1009,66.8,6.1,3.1,16.5,12.2,22.1,6.7,10554,436,10990,4.0,63.0,33.8,3.2,17433,450
St Albans,1435,1355,2790,843,67.3,3.4,1.7,9.5,8.7,25.6,18.1,1214,69,1283,5.4,57.2,28.6,14.0,2243,0
St Andrews,10916,10934,21850,794,52.3,4.5,1.0,11.1,8.5,18.9,8.3,8897,751,9648,7.8,62.3,33.3,4.4,15486,420
St Clair,10227,10315,20542,989,52.5,2.2,0.8,9.3,8.3,24.0,7.9,10245,550,10795,5.1,68.5,26.6,4.8,15749,430
St Georges Basin,7203,7517,14720,582,53.7,1.0,1.0,5.0,7.7,27.0,11.9,4491,436,4927,8.8,42.3,50.7,7.0,11657,410
St Ives,10469,11395,21864,1461,71.5,13.3,2.8,29.3,10.8,8.5,6.8,9562,422,9984,4.2,61.7,35.1,3.2,16173,965
St Johns Park,5463,5748,11211,708,41.2,1.6,0.6,10.7,7.2,13.9,7.2,4254,385,4639,8.3,51.4,44.7,3.9,9022,480
St Leonards,5833,5966,11799,1757,80.3,16.7,3.3,34.7,9.1,7.4,9.2,6330,260,6590,3.9,74.1,19.0,7.1,8899,0
St Marys,8650,8433,17083,729,50.7,2.1,0.6,7.3,6.7,19.6,14.4,6353,701,7054,9.9,55.3,34.9,9.7,12753,360
St Peters,4292,4212,8504,1255,65.9,8.4,2.8,23.3,9.5,12.9,8.8,4532,217,4749,4.6,71.2,22.1,6.7,6672,730
Stanmore,11087,11006,22093,1382,74.3,12.0,3.4,28.6,9.0,10.2,11.1,11836,532,12368,4.3,70.6,20.1,9.3,17522,820
Stockton,4180,4116,8296,769,62.6,2.7,1.3,9.9,7.9,24.2,16.8,2729,193,2922,6.6,45.4,41.8,12.8,6442,440
Strathfield,14018,13478,27496,1007,65.0,11.4,1.6,28.0,8.0,6.9,9.1,12615,907,13522,6.7,61.8,32.2,5.9,21874,700
Strathfield South,1924,1985,3909,1003,62.0,7.7,2.1,21.5,9.8,13.2,8.0,1749,128,1877,6.8,64.5,31.0,4.6,2911,603
Stroud,2397,2370,4767,610,52.3,1.4,1.0,6.4,7.5,24.1,12.1,1857,141,1998,7.1,50.4,42.8,6.9,3962,395
Summer Hill,7084,7235,14319,1257,68.4,11.3,2.9,25.7,9.0,11.0,8.5,7079,307,7386,4.2,66.0,28.4,5.5,11185,683
Summerland Point,3068,3004,6072,718,53.7,1.1,0.8,5.8,7.3,30.7,8.0,2346,203,2549,8.0,53.9,42.0,4.1,4728,400
Surry Hills,10419,7868,18287,1605,78.4,12.6,2.5,31.4,8.7,7.5,15.7,10182,491,10673,4.6,68.4,18.6,13.0,15606,895
Sussex Inlet,2270,2206,4476,537,54.1,1.1,0.9,5.3,6.5,28.6,11.8,1226,100,1326,7.5,34.4,60.0,5.7,3858,1005
Sutherland,10717,11404,22121,1079,67.2,5.7,2.0,17.5,11.3,21.4,9.4,10823,446,11269,4.0,65.7,29.6,4.7,17146,555
Swansea,5875,6120,11995,722,57.5,2.2,1.7,9.8,8.3,26.2,9.3,4619,374,4993,7.5,51.4,43.9,4.7,9710,393
Sydenham,4292,4212,8504,1255,65.9,8.4,2.8,23.3,9.5,12.9,8.8,4532,217,4749,4.6,71.2,22.1,6.7,6672,710
Sydney,16090,15592,31682,1146,73.6,10.8,1.2,27.8,10.9,4.9,17.9,15124,1046,16170,6.5,61.8,23.6,14.6,26159,0
Sylvania,8341,8743,17084,984,61.1,4.2,1.4,15.5,10.6,19.0,10.5,7063,331,7394,4.5,56.2,39.2,4.6,13156,723
Tahmoor,8857,8977,17834,909,59.2,2.4,1.3,8.2,8.7,27.3,11.3,7892,412,8304,5.0,62.8,30.1,7.1,13216,410
Tamarama,10022,10126,20148,1577,78.1,11.7,2.4,31.2,9.5,9.7,13.8,10413,406,10819,3.8,69.4,20.1,10.5,15587,1375
Tamworth,6981,7309,14290,736,55.2,1.7,1.2,8.6,7.0,23.1,13.5,5900,402,6302,7.6,57.0,34.5,8.5,10865,0
Tanilba Bay,3465,3358,6823,628,56.6,1.1,0.9,5.6,8.4,28.6,12.1,2282,221,2503,8.8,45.5,47.7,6.9,5497,400
Taree,10102,10800,20902,566,52.3,1.0,1.0,6.0,7.1,23.6,13.6,6628,803,7431,10.8,44.2,48.2,7.5,16799,340
Taren Point,8341,8743,17084,984,61.1,4.2,1.4,15.5,10.6,19.0,10.5,7063,331,7394,4.5,56.2,39.2,4.6,13156,873
Tarrawanna,7752,8246,15998,748,57.8,3.2,1.5,11.0,9.2,24.0,8.8,6596,520,7116,7.3,56.0,39.3,4.8,12718,530
Tathra,4235,4438,8673,703,58.4,2.4,2.0,11.1,7.7,22.0,13.1,3480,181,3661,4.9,53.4,38.9,7.8,6852,425
Tea Gardens,2661,2626,5287,630,59.1,2.0,1.4,8.6,9.7,25.9,11.6,1412,130,1542,8.4,33.9,60.3,5.8,4555,370
Temora,3439,3479,6918,641,49.8,0.7,1.1,7.8,5.8,22.5,12.0,2715,142,2857,5.0,52.5,40.7,6.9,5445,275
Tempe,4292,4212,8504,1255,65.9,8.4,2.8,23.3,9.5,12.9,8.8,4532,217,4749,4.6,71.2,22.1,6.7,6672,678
Tenterfield,3245,3393,6638,519,54.4,1.1,1.1,7.1,6.7,21.8,16.5,2361,200,2561,7.8,45.8,42.7,11.6,5591,240
Teralba,4241,4442,8683,710,55.8,1.6,1.3,7.9,7.7,26.2,11.1,3315,385,3700,10.4,52.4,40.4,7.2,7065,505
Terranora,1654,1724,3378,911,60.9,2.5,2.0,13.4,10.2,25.4,7.0,1538,105,1643,6.4,64.2,32.1,3.9,2560,605
Terrey Hills,1914,1902,3816,1258,65.8,6.0,2.3,19.0,11.2,18.3,8.9,1795,66,1861,3.5,63.5,31.0,5.3,2931,1098
Terrigal,7063,7218,14281,1020,65.7,4.8,2.4,18.3,11.3,21.0,8.1,6574,350,6924,5.1,63.1,32.5,4.4,10968,550
The Entrance,7633,8102,15735,678,56.2,1.8,1.2,8.4,8.2,23.4,13.2,5827,519,6346,8.2,50.4,41.8,7.8,12582,395
The Junction,7202,7070,14272,1162,69.9,7.3,2.8,24.6,10.4,17.1,7.6,7187,304,7491,4.1,66.6,28.5,4.9,11252,550
The Oaks,4869,4817,9686,1002,60.1,2.9,1.2,8.9,8.9,29.0,9.1,4579,185,4764,3.9,67.6,27.3,5.0,7044,550
The Rocks,16090,15592,31682,1146,73.6,10.8,1.2,27.8,10.9,4.9,17.9,15124,1046,16170,6.5,61.8,23.6,14.6,26159,0
Thirroul,5899,6055,11954,1156,72.6,10.2,3.8,21.8,10.8,18.4,7.5,5504,255,5759,4.4,64.0,31.4,4.7,9000,685
Thornleigh,9446,9744,19190,1213,69.3,11.2,3.3,25.5,10.3,12.3,6.8,9022,399,9421,4.2,64.2,32.4,3.4,14678,580
Thornton,5792,5824,11616,960,56.3,1.9,1.4,8.8,9.5,29.5,5.2,5117,299,5416,5.5,70.2,26.9,2.9,7714,435
Tighes Hill,4238,4252,8490,954,68.2,6.3,2.7,21.1,9.3,19.7,9.0,4231,298,4529,6.6,66.6,27.1,6.3,6803,460
Tocumwal,5073,4962,10035,662,53.4,0.8,0.9,7.2,6.6,21.9,16.1,3827,188,4015,4.7,49.9,39.7,10.4,8040,278
Tomakin,1722,1748,3470,713,64.4,2.7,3.3,12.6,9.1,23.6,13.2,1235,56,1291,4.3,46.3,45.8,8.0,2789,510
Tomerong,1790,1731,3521,801,64.3,2.5,1.9,9.4,9.0,31.2,10.4,1587,68,1655,4.1,58.4,35.5,6.2,2834,0
Toongabbie,12287,12146,24434,891,59.2,7.1,1.5,16.8,9.1,16.2,8.4,10506,738,11244,6.6,60.9,34.2,5.0,18465,450
Toronto,6680,7088,13768,747,58.2,3.1,1.3,10.7,8.6,24.2,10.3,5288,454,5742,7.9,50.9,43.3,5.7,11288,380
Toukley,5019,5277,10296,644,55.2,1.2,1.0,6.5,7.6,24.8,14.2,3456,302,3758,8.0,45.5,45.4,9.2,8258,363
Tregear,10957,11520,22477,674,47.3,2.9,0.5,7.6,6.1,16.6,13.7,7070,853,7923,10.8,52.1,39.0,8.9,15210,310
Tuggerah,2708,2757,5465,873,57.7,2.3,1.1,11.2,9.0,24.1,9.9,2409,164,2573,6.4,61.5,31.3,7.2,4182,430
Tumbarumba,1785,1707,3492,729,55.3,1.1,1.2,6.6,6.8,21.7,18.2,1459,69,1528,4.5,52.9,39.3,8.0,2886,270
Tumbi Umbi,7694,8068,15762,851,57.5,1.9,1.3,9.0,9.5,27.8,8.0,7245,455,7700,5.9,62.5,33.3,4.2,12316,465
Tumut,3102,3234,6336,699,54.1,1.0,0.8,7.5,6.7,22.0,16.1,2482,172,2654,6.5,52.2,36.4,11.3,5082,310
Tuncurry,3052,3320,6372,536,52.3,0.6,0.8,4.6,6.6,24.0,15.9,1641,182,1823,10.0,32.7,59.0,8.3,5570,390
Tura Beach,5390,5786,11176,685,60.6,2.2,2.1,10.8,8.7,23.8,12.9,4098,197,4295,4.6,46.9,45.6,7.4,9156,463
Tuross Head,4072,4110,8182,619,60.7,2.6,2.0,9.8,9.0,25.1,12.3,2875,207,3082,6.7,44.7,48.0,7.3,6891,420
Turramurra,9680,10611,20291,1441,72.3,12.5,3.3,28.8,10.3,9.0,8.3,8591,387,8978,4.3,57.9,36.7,5.4,15510,850
Tweed Heads,9839,10445,20284,648,57.1,1.9,1.2,8.5,8.3,23.0,14.2,7267,653,7920,8.2,47.2,44.0,8.9,16796,530
Tweed Heads South,3874,4455,8329,571,50.5,0.9,0.8,5.8,7.1,22.6,13.3,2569,234,2803,8.3,39.5,53.4,7.2,7098,525
Ulladulla,7802,8411,16213,602,58.1,1.9,1.7,8.3,8.1,25.3,12.7,5336,364,5700,6.4,44.1,48.2,7.7,12925,400
Ultimo,12204,12441,24645,1244,73.0,12.4,1.9,30.8,8.6,6.3,13.0,11495,947,12442,7.6,61.9,27.7,10.4,20090,750
Unanderra,7811,8038,15849,876,61.5,3.9,1.9,12.9,9.2,23.3,10.2,7039,457,7496,6.1,60.0,34.0,6.0,12496,420
Urunga,2388,2382,4770,659,59.7,2.1,1.6,10.7,8.2,24.8,12.1,1780,137,1917,7.1,47.7,45.3,7.0,4018,380
Valentine,6109,6213,12322,1022,66.1,4.9,2.3,17.7,11.4,23.3,6.5,5628,326,5954,5.5,61.1,35.7,3.3,9750,540
Vaucluse,5880,6785,12665,1735,70.6,10.8,2.2,30.7,8.9,7.2,10.7,5388,214,5602,3.8,59.3,33.6,7.1,9439,1950
Vincentia,2162,2369,4531,788,66.7,5.5,2.9,13.7,10.2,23.3,11.3,1675,89,1764,5.0,48.4,45.0,6.6,3644,480
Wadalba,8279,8787,17066,875,54.8,1.9,1.0,8.2,9.8,26.0,7.9,6700,429,7129,6.0,62.4,33.0,4.6,11416,500
Wadbilliga,13,12,25,450,64.0,0.0,0.0,24.0,12.0,12.0,28.0,11,0,11,0.0,44.0,36.0,28.0,25,0
Wagga Wagga,6854,7256,14110,867,58.2,3.3,1.7,12.9,7.6,23.3,9.4,6422,395,6818,5.9,63.0,31.2,5.9,10865,350
Wahroonga,7159,7463,14622,1355,73.4,13.8,3.0,29.7,9.7,8.8,8.5,6435,333,6768,5.2,61.6,33.8,4.6,11033,825
Waitara,5228,5457,10685,1130,75.0,14.9,2.9,29.8,9.6,9.1,8.7,4506,297,4803,6.2,62.7,32.6,4.7,7657,700
Wakeley,5463,5748,11211,708,41.2,1.6,0.6,10.7,7.2,13.9,7.2,4254,385,4639,8.3,51.4,44.7,3.9,9022,400
Walcha,1608,1623,3231,691,56.1,1.2,1.3,8.7,7.7,20.8,16.8,1467,48,1515,3.2,57.0,31.3,11.8,2660,0
Walgett,3387,2999,6386,523,48.9,1.0,0.7,6.9,6.0,16.3,17.9,2163,264,2427,10.9,47.4,40.3,12.3,5124,0
Wallsend,9618,10596,20214,753,57.8,3.5,1.2,12.0,8.3,23.0,9.8,8234,740,8974,8.2,55.2,39.3,5.6,16270,420
Wamberal,5133,5190,10323,1020,66.5,4.0,2.3,17.0,11.7,23.2,8.3,4678,198,4876,4.1,63.7,31.6,4.8,7656,593
Wandandian,1790,1731,3521,801,64.3,2.5,1.9,9.4,9.0,31.2,10.4,1587,68,1655,4.1,58.4,35.5,6.2,2834,0
Wangi Wangi,4593,4544,9137,807,62.3,2.7,1.8,10.7,11.0,28.8,7.2,3763,287,4050,7.1,54.3,42.0,3.7,7456,400
Warabrook,7755,7711,15466,796,60.4,4.3,1.5,14.5,8.7,21.7,9.8,6939,648,7587,8.5,60.2,32.9,6.9,12609,440
Waratah,6151,6384,12535,773,61.4,3.8,1.8,14.5,8.3,21.5,11.7,5473,537,6010,8.9,59.1,32.2,8.8,10177,420
Warilla,10358,10732,21090,620,50.8,1.0,0.8,5.3,6.9,24.6,12.2,7347,770,8117,9.5,48.4,44.2,7.3,16769,435
Warners Bay,6582,7159,13741,849,60.6,3.1,1.8,13.3,10.0,24.1,8.3,6103,408,6511,6.3,58.8,37.0,4.3,11080,450
